engine,regime,trial,latency_ms
tv,warm_backend,1,20.114
tv,warm_backend,2,20.724
tv,warm_backend,3,20.078
tv,warm_backend,4,20.904
tv,warm_backend,5,20.124
tv,warm_backend,6,20.458
tv,warm_backend,7,20.151
tv,warm_backend,8,20.096
tv,warm_backend,9,20.875
tv,warm_backend,10,20.781
tv,warm_backend,11,21.094
tv,warm_backend,12,21.092
tv,warm_backend,13,21.609
tv,warm_backend,14,20.700
tv,warm_backend,15,20.242
tv,warm_backend,16,20.152
tv,warm_backend,17,20.433
tv,warm_backend,18,20.064
tv,warm_backend,19,20.574
tv,warm_backend,20,20.003
tv,warm_backend,21,20.994
tv,warm_backend,22,20.890
tv,warm_backend,23,20.871
tv,warm_backend,24,21.165
tv,warm_backend,25,20.259
tv,warm_backend,26,20.114
tv,warm_backend,27,20.904
tv,warm_backend,28,20.611
tv,warm_backend,29,20.266
tv,warm_backend,30,21.021
hnsw,warm_backend,1,0.770
hnsw,warm_backend,2,0.687
hnsw,warm_backend,3,0.692
hnsw,warm_backend,4,0.725
hnsw,warm_backend,5,0.691
hnsw,warm_backend,6,0.657
hnsw,warm_backend,7,0.647
hnsw,warm_backend,8,0.611
hnsw,warm_backend,9,0.636
hnsw,warm_backend,10,0.613
hnsw,warm_backend,11,0.684
hnsw,warm_backend,12,0.591
hnsw,warm_backend,13,0.585
hnsw,warm_backend,14,0.609
hnsw,warm_backend,15,0.576
hnsw,warm_backend,16,0.582
hnsw,warm_backend,17,0.559
hnsw,warm_backend,18,0.579
hnsw,warm_backend,19,0.576
hnsw,warm_backend,20,0.579
hnsw,warm_backend,21,0.553
hnsw,warm_backend,22,0.628
hnsw,warm_backend,23,0.637
hnsw,warm_backend,24,0.593
hnsw,warm_backend,25,0.553
hnsw,warm_backend,26,0.599
hnsw,warm_backend,27,0.613
hnsw,warm_backend,28,0.683
hnsw,warm_backend,29,0.652
hnsw,warm_backend,30,0.614
tv,cold_backend_warm_os,1,1898.279
tv,cold_backend_warm_os,2,1889.100
tv,cold_backend_warm_os,3,1892.662
tv,cold_backend_warm_os,4,1887.525
tv,cold_backend_warm_os,5,1887.908
tv,cold_backend_warm_os,6,1897.240
tv,cold_backend_warm_os,7,1891.718
tv,cold_backend_warm_os,8,1906.630
tv,cold_backend_warm_os,9,1907.387
tv,cold_backend_warm_os,10,1894.488
tv,cold_backend_warm_os,11,1883.763
tv,cold_backend_warm_os,12,1905.671
tv,cold_backend_warm_os,13,1888.417
tv,cold_backend_warm_os,14,1891.002
tv,cold_backend_warm_os,15,1891.111
tv,cold_backend_warm_os,16,1894.042
tv,cold_backend_warm_os,17,1885.792
tv,cold_backend_warm_os,18,1885.102
tv,cold_backend_warm_os,19,1892.856
tv,cold_backend_warm_os,20,1891.462
tv,cold_backend_warm_os,21,1901.281
tv,cold_backend_warm_os,22,1888.619
tv,cold_backend_warm_os,23,1906.766
tv,cold_backend_warm_os,24,1898.291
tv,cold_backend_warm_os,25,1886.899
tv,cold_backend_warm_os,26,1889.429
tv,cold_backend_warm_os,27,1893.403
tv,cold_backend_warm_os,28,1893.574
tv,cold_backend_warm_os,29,1896.459
tv,cold_backend_warm_os,30,1897.193
hnsw,cold_backend_warm_os,1,2.680
hnsw,cold_backend_warm_os,2,2.170
hnsw,cold_backend_warm_os,3,1.978
hnsw,cold_backend_warm_os,4,1.948
hnsw,cold_backend_warm_os,5,1.889
hnsw,cold_backend_warm_os,6,1.889
hnsw,cold_backend_warm_os,7,1.902
hnsw,cold_backend_warm_os,8,1.830
hnsw,cold_backend_warm_os,9,1.780
hnsw,cold_backend_warm_os,10,1.795
hnsw,cold_backend_warm_os,11,1.854
hnsw,cold_backend_warm_os,12,1.959
hnsw,cold_backend_warm_os,13,2.014
hnsw,cold_backend_warm_os,14,2.027
hnsw,cold_backend_warm_os,15,1.957
hnsw,cold_backend_warm_os,16,1.940
hnsw,cold_backend_warm_os,17,1.816
hnsw,cold_backend_warm_os,18,1.700
hnsw,cold_backend_warm_os,19,1.797
hnsw,cold_backend_warm_os,20,1.868
hnsw,cold_backend_warm_os,21,1.851
hnsw,cold_backend_warm_os,22,1.854
hnsw,cold_backend_warm_os,23,2.035
hnsw,cold_backend_warm_os,24,2.148
hnsw,cold_backend_warm_os,25,2.078
hnsw,cold_backend_warm_os,26,2.078
hnsw,cold_backend_warm_os,27,2.021
hnsw,cold_backend_warm_os,28,1.887
hnsw,cold_backend_warm_os,29,1.800
hnsw,cold_backend_warm_os,30,1.807
tv,cold_backend_cold_disk,1,4702.055
tv,cold_backend_cold_disk,2,4710.474
tv,cold_backend_cold_disk,3,4477.795
tv,cold_backend_cold_disk,4,4649.035
tv,cold_backend_cold_disk,5,4571.629
tv,cold_backend_cold_disk,6,4478.375
tv,cold_backend_cold_disk,7,4470.719
tv,cold_backend_cold_disk,8,4466.245
tv,cold_backend_cold_disk,9,4711.514
tv,cold_backend_cold_disk,10,4471.724
hnsw,cold_backend_cold_disk,1,330.287
hnsw,cold_backend_cold_disk,2,329.452
hnsw,cold_backend_cold_disk,3,324.315
hnsw,cold_backend_cold_disk,4,287.629
hnsw,cold_backend_cold_disk,5,327.990
hnsw,cold_backend_cold_disk,6,326.838
hnsw,cold_backend_cold_disk,7,282.505
hnsw,cold_backend_cold_disk,8,326.773
hnsw,cold_backend_cold_disk,9,330.446
hnsw,cold_backend_cold_disk,10,285.708
