# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu_atom/cycles/P'
# Event count (approx.): 2975325396
#
# Children      Self  Command   Shared Object         Symbol                                                                                                                                                                                                          
# ........  ........  ........  ....................  ................................................................................................................................................................................................................
#
    37.08%     0.40%  postgres  postgres              [.] ReadBufferExtended
    36.68%     0.00%  postgres  postgres              [.] ReadBuffer_common (inlined)
    34.96%    12.42%  postgres  libc.so.6             [.] __memmove_avx_unaligned_erms
    32.71%     0.48%  postgres  [kernel.kallsyms]     [.] asm_exc_page_fault
    30.01%     0.00%  postgres  pg_turbovec.so        [.] cee_scape::asm_based::call_with_sigsetjmp::call_from_c_to_rust::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<i32, pgrx_pg_sys::include::pg17::ReadBufferExtended::{closure#0}>::{closure#0}>
    29.44%     0.24%  postgres  postgres              [.] WaitReadBuffers
    28.16%     0.56%  postgres  postgres              [.] mdreadv
    26.95%     0.40%  postgres  postgres              [.] FileReadV
    26.79%     0.24%  postgres  libc.so.6             [.] __libc_pread
    26.63%     0.24%  postgres  libc.so.6             [.] __internal_syscall_cancel
    26.55%     0.00%  postgres  postgres              [.] pg_preadv (inlined)
    26.55%     0.00%  postgres  postgres              [.] pread (inlined)
    26.39%     0.00%  postgres  libc.so.6             [.] __syscall_cancel
    21.79%    21.55%  postgres  pg_turbovec.so        [.] turbovec::search::search_multi_query_avx2
    21.79%     0.00%  postgres  pg_turbovec.so        [.] turbovec::search::search::{closure#2}
    21.79%     0.00%  postgres  [unknown]             [.] 0x0000000000000064
    21.79%     0.00%  postgres  [unknown]             [.] 0x00007fffd7811570
    19.89%     0.16%  postgres  [kernel.kallsyms]     [.] exc_page_fault
    19.57%     0.56%  postgres  [kernel.kallsyms]     [.] do_user_addr_fault
    18.76%     0.08%  postgres  [kernel.kallsyms]     [.] do_syscall_64
    18.76%     0.00%  postgres  [kernel.kallsyms]     [.] entry_SYSCALL_64_after_hwframe
    18.52%     0.00%  postgres  [kernel.kallsyms]     [.] __x64_sys_pread64
    17.87%     0.24%  postgres  [kernel.kallsyms]     [.] vfs_read
    17.24%     0.40%  postgres  [kernel.kallsyms]     [.] handle_mm_fault
    16.74%     0.80%  postgres  [kernel.kallsyms]     [.] filemap_read
    16.51%     0.56%  postgres  [kernel.kallsyms]     [.] __handle_mm_fault
    15.47%     0.48%  postgres  [kernel.kallsyms]     [.] do_anonymous_page
    12.18%    12.10%  postgres  [kernel.kallsyms]     [k] _copy_to_iter
    12.18%     0.00%  postgres  [kernel.kallsyms]     [.] copy_page_to_iter
    11.26%     0.08%  postgres  [kernel.kallsyms]     [.] alloc_anon_folio
     8.79%     0.16%  postgres  [kernel.kallsyms]     [.] vma_alloc_folio_noprof
     8.71%     0.16%  postgres  [kernel.kallsyms]     [.] alloc_pages_mpol
     8.47%     0.80%  postgres  [kernel.kallsyms]     [.] __alloc_frozen_pages_noprof
     7.60%     0.13%  postgres  [kernel.kallsyms]     [.] get_page_from_freelist
     7.31%     0.00%  postgres  pg_turbovec.so        [.] cee_scape::asm_based::call_with_sigsetjmp::call_from_c_to_rust::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<(), pgrx_pg_sys::include::pg17::LockBuffer::{closure#0}>::{closure#0}>
     7.31%     5.95%  postgres  pg_turbovec.so        [.] <hashbrown::map::HashMap<u64, usize, std::hash::random::RandomState>>::insert
     6.10%     0.64%  postgres  postgres              [.] StartReadBuffer
     6.02%     0.00%  postgres  postgres              [.] PinBufferForBlock (inlined)
     6.02%     0.00%  postgres  postgres              [.] StartReadBuffersImpl (inlined)
     5.86%     0.00%  postgres  postgres              [.] BufferAlloc (inlined)
     5.58%     0.08%  postgres  [kernel.kallsyms]     [.] post_alloc_hook
     5.50%     5.50%  postgres  [kernel.kallsyms]     [k] kernel_init_pages
     3.47%     0.00%  postgres  postgres              [.] GetVictimBuffer
     2.89%     1.92%  postgres  [kernel.kallsyms]     [.] filemap_get_read_batch
     2.89%     0.00%  postgres  [kernel.kallsyms]     [.] filemap_get_pages
     2.59%     0.08%  postgres  postgres              [.] InvalidateVictimBuffer
     2.51%     2.43%  postgres  postgres              [.] hash_search_with_hash_value
     2.21%     0.08%  postgres  [kernel.kallsyms]     [.] __folio_batch_add_and_move
     2.13%     0.44%  postgres  [kernel.kallsyms]     [k] folio_batch_move_lru
     2.00%     2.00%  postgres  [kernel.kallsyms]     [k] __irqentry_text_end
     1.90%     0.08%  postgres  [kernel.kallsyms]     [.] __mem_cgroup_charge
     1.88%     0.12%  postgres  [kernel.kallsyms]     [k] rmqueue_pcplist
     1.88%     0.00%  postgres  [kernel.kallsyms]     [.] rmqueue.isra.0
